"CitySt","Year","State","County","City","Targeted","Bounces","Exits","New.Users","Number.of.Records","Pageviews","Session.Duration","Sessions","Time.On.Page","Unique.Pageviews","EventCity","CityState","ZIP","lat","lon"
"Worcester, MA",2017,"Massachusetts","Worcester","Worcester","Targeted","19","21","18",21,"27","682","21","681","22","EventCity",NA,NA,NA,NA
"Alton, NH",2017,"New Hampshire","Belknap","Alton","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Gilford, NH",2017,"New Hampshire","Belknap","Gilford","Other","0","1","1",1,"2","7","1","7","1","EventCity",NA,NA,NA,NA
"Laconia, NH",2017,"New Hampshire","Belknap","Laconia","Other","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Meredith, NH",2017,"New Hampshire","Belknap","Meredith","Other","0","1","1",1,"2","135","1","135","2","EventCity",NA,NA,NA,NA
"New Hampton, NH",2017,"New Hampshire","Belknap","New Hampton","Other","2","2","1",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Bartlett, NH",2017,"New Hampshire","Carroll","Bartlett","Other","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Conway, NH",2017,"New Hampshire","Carroll","Conway","Other","29","29","28",27,"29","0","29","0","29","No Event",NA,NA,NA,NA
"Freedom, NH",2017,"New Hampshire","Carroll","Freedom","Other","8","9","9",9,"16","162","9","161","16","No Event",NA,NA,NA,NA
"Jackson, NH",2017,"New Hampshire","Carroll","Jackson","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Madison, NH",2017,"New Hampshire","Carroll","Madison","Other","3","4","4",4,"12","813","4","813","11","No Event",NA,NA,NA,NA
"Moultonborough, NH",2017,"New Hampshire","Carroll","Moultonborough","Other","13","13","12",13,"13","0","13","0","13","No Event",NA,NA,NA,NA
"Tamworth, NH",2017,"New Hampshire","Carroll","Tamworth","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Wakefield, NH",2017,"New Hampshire","Carroll","Wakefield","Other","2","3","3",3,"4","18","3","18","4","No Event",NA,NA,NA,NA
"Wolfeboro, NH",2017,"New Hampshire","Carroll","Wolfeboro","Other","12","13","12",13,"14","116","13","116","13","No Event",NA,NA,NA,NA
"Keene, NH",2017,"New Hampshire","Cheshire","Keene","Other","6","6","6",6,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Rindge, NH",2017,"New Hampshire","Cheshire","Rindge","Other","5","5","3",5,"5","0","5","0","5","No Event",NA,NA,NA,NA
"Berlin, NH",2017,"New Hampshire","Coos","Berlin","Other","12","17","14",17,"26","792","17","793","20","No Event",NA,NA,NA,NA
"Carroll, NH",2017,"New Hampshire","Coos","Carroll","Other","4","4","3",3,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Colebrook, NH",2017,"New Hampshire","Coos","Colebrook","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Gorham, NH",2017,"New Hampshire","Coos","Gorham","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Lancaster, NH",2017,"New Hampshire","Coos","Lancaster","Other","9","9","9",9,"9","0","9","0","9","No Event",NA,NA,NA,NA
"Northumberland, NH",2017,"New Hampshire","Coos","Northumberland","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Pittsburg, NH",2017,"New Hampshire","Coos","Pittsburg","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Whitefield, NH",2017,"New Hampshire","Coos","Whitefield","Other","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Bethlehem, NH",2017,"New Hampshire","Grafton","Bethlehem","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Hanover, NH",2017,"New Hampshire","Grafton","Hanover","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Lyme, NH",2017,"New Hampshire","Grafton","Lyme","Other","6","6","5",5,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Woodstock, NH",2017,"New Hampshire","Grafton","Woodstock","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Bedford, NH",2017,"New Hampshire","Hillsborough","Bedford","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Brookline, NH",2017,"New Hampshire","Hillsborough","Brookline","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Goffstown, NH",2017,"New Hampshire","Hillsborough","Goffstown","Targeted","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Hudson, NH",2017,"New Hampshire","Hillsborough","Hudson","Targeted","4","4","4",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Manchester, NH",2017,"New Hampshire","Hillsborough","Manchester","Targeted","33","33","28",28,"33","0","33","0","33","EventCity",NA,NA,NA,NA
"Merrimack, NH",2017,"New Hampshire","Hillsborough","Merrimack","Targeted","12","14","14",12,"16","2","14","2","14","No Event",NA,NA,NA,NA
"Nashua, NH",2017,"New Hampshire","Hillsborough","Nashua","Targeted","17","18","17",18,"21","223","18","223","19","No Event",NA,NA,NA,NA
"Pelham, NH",2017,"New Hampshire","Hillsborough","Pelham","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Peterborough, NH",2017,"New Hampshire","Hillsborough","Peterborough","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Temple, NH",2017,"New Hampshire","Hillsborough","Temple","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Concord, NH",2017,"New Hampshire","Merrimack","Concord","Targeted","7","7","5",6,"7","0","7","0","7","EventCity",NA,NA,NA,NA
"Epsom, NH",2017,"New Hampshire","Merrimack","Epsom","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Hopkinton, NH",2017,"New Hampshire","Merrimack","Hopkinton","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Newbury, NH",2017,"New Hampshire","Merrimack","Newbury","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Salisbury, NH",2017,"New Hampshire","Merrimack","Salisbury","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Atkinson, NH",2017,"New Hampshire","Rockingham","Atkinson","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Deerfield, NH",2017,"New Hampshire","Rockingham","Deerfield","Targeted","0","1","1",1,"2","0","1","0","1","No Event",NA,NA,NA,NA
"Derry, NH",2017,"New Hampshire","Rockingham","Derry","Targeted","23","25","22",25,"28","22","25","21","26","No Event",NA,NA,NA,NA
"Exeter, NH",2017,"New Hampshire","Rockingham","Exeter","Targeted","21","27","21",20,"37","1,693","27","1,692","29","EventCity",NA,NA,NA,NA
"Hampton, NH",2017,"New Hampshire","Rockingham","Hampton","Targeted","4","4","4",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Londonderry, NH",2017,"New Hampshire","Rockingham","Londonderry","Targeted","3","3","3",3,"3","0","3","0","3","EventCity",NA,NA,NA,NA
"Newmarket, NH",2017,"New Hampshire","Rockingham","Newmarket","Targeted","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Northwood, NH",2017,"New Hampshire","Rockingham","Northwood","Targeted","2","2","2",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Portsmouth, NH",2017,"New Hampshire","Rockingham","Portsmouth","Targeted","6","8","8",8,"10","1,500","8","1,500","8","No Event",NA,NA,NA,NA
"Raymond, NH",2017,"New Hampshire","Rockingham","Raymond","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Salem, NH",2017,"New Hampshire","Rockingham","Salem","Targeted","3","3","3",3,"3","0","3","0","3","EventCity",NA,NA,NA,NA
"Windham, NH",2017,"New Hampshire","Rockingham","Windham","Targeted","6","6","6",6,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Barrington, NH",2017,"New Hampshire","Strafford","Barrington","Targeted","4","5","4",5,"6","0","5","0","5","No Event",NA,NA,NA,NA
"Dover, NH",2017,"New Hampshire","Strafford","Dover","Targeted","38","38","29",35,"38","0","38","0","38","No Event",NA,NA,NA,NA
"Durham, NH",2017,"New Hampshire","Strafford","Durham","Targeted","1","1","0",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Farmington, NH",2017,"New Hampshire","Strafford","Farmington","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Milton, NH",2017,"New Hampshire","Strafford","Milton","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Rochester, NH",2017,"New Hampshire","Strafford","Rochester","Targeted","10","11","10",10,"12","7","11","7","12","No Event",NA,NA,NA,NA
"Somersworth, NH",2017,"New Hampshire","Strafford","Somersworth","Targeted","1","2","2",2,"3","4","2","4","2","No Event",NA,NA,NA,NA
"Claremont, NH",2017,"New Hampshire","Sullivan","Claremont","Other","6","6","2",6,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Sunapee, NH",2017,"New Hampshire","Sullivan","Sunapee","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Barrington, RI",2017,"Rhode Island","Bristol","Barrington","Targeted","20","20","16",17,"20","0","20","0","20","No Event",NA,NA,NA,NA
"Bristol, RI",2017,"Rhode Island","Bristol","Bristol","Targeted","12","12","10",7,"12","0","12","0","12","EventCity",NA,NA,NA,NA
"Coventry, RI",2017,"Rhode Island","Kent","Coventry","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"East Greenwich, RI",2017,"Rhode Island","Kent","East Greenwich","Targeted","4","4","3",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Warwick, RI",2017,"Rhode Island","Kent","Warwick","Targeted","32","34","18",27,"36","1,425","34","1,425","34","EventCity",NA,NA,NA,NA
"West Warwick, RI",2017,"Rhode Island","Kent","West Warwick","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Newport, RI",2017,"Rhode Island","Newport","Newport","Other","1","1","0",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Burrillville, RI",2017,"Rhode Island","Providence","Burrillville","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Cranston, RI",2017,"Rhode Island","Providence","Cranston","Targeted","96","97","42",52,"98","1,049","97","1,049","97","No Event",NA,NA,NA,NA
"Cumberland, RI",2017,"Rhode Island","Providence","Cumberland","Targeted","3","4","3",4,"8","456","4","455","7","No Event",NA,NA,NA,NA
"East Providence, RI",2017,"Rhode Island","Providence","East Providence","Targeted","16","16","15",13,"16","0","16","0","16","No Event",NA,NA,NA,NA
"Johnston, RI",2017,"Rhode Island","Providence","Johnston","Targeted","6","6","3",6,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Lincoln, RI",2017,"Rhode Island","Providence","Lincoln","Targeted","4","5","4",5,"7","9","5","9","7","No Event",NA,NA,NA,NA
"North Providence, RI",2017,"Rhode Island","Providence","North Providence","Targeted","24","27","12",21,"30","908","27","908","29","No Event",NA,NA,NA,NA
"Pawtucket, RI",2017,"Rhode Island","Providence","Pawtucket","Targeted","30","34","13",29,"39","2,876","34","2,876","36","EventCity",NA,NA,NA,NA
"Providence, RI",2017,"Rhode Island","Providence","Providence","Targeted","592","643","342",85,"719","22,239","643","22,237","662","EventCity",NA,NA,NA,NA
"Smithfield, RI",2017,"Rhode Island","Providence","Smithfield","Targeted","7","8","4",7,"9","49","8","49","8","No Event",NA,NA,NA,NA
"Woonsocket, RI",2017,"Rhode Island","Providence","Woonsocket","Targeted","11","12","9",8,"13","100","12","100","13","No Event",NA,NA,NA,NA
"Narragansett, RI",2017,"Rhode Island","Washington","Narragansett","Targeted","1","1","0",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"North Kingstown, RI",2017,"Rhode Island","Washington","North Kingstown","Targeted","3","3","2",2,"3","0","3","0","3","No Event",NA,NA,NA,NA
"South Kingstown, RI",2017,"Rhode Island","Washington","South Kingstown","Targeted","6","6","6",5,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Lyndon, VT",2017,"Vermont","Caledonia","Lyndon","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Saint Johnsbury, VT",2017,"Vermont","Caledonia","Saint Johnsbury","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Burlington, VT",2017,"Vermont","Chittenden","Burlington","Targeted","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Charlotte, VT",2017,"Vermont","Chittenden","Charlotte","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Colchester, VT",2017,"Vermont","Chittenden","Colchester","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Essex, VT",2017,"Vermont","Chittenden","Essex","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Hinesburg, VT",2017,"Vermont","Chittenden","Hinesburg","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Jericho, VT",2017,"Vermont","Chittenden","Jericho","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Shelburne, VT",2017,"Vermont","Chittenden","Shelburne","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"South Burlington, VT",2017,"Vermont","Chittenden","South Burlington","Targeted","3","3","2",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Williston, VT",2017,"Vermont","Chittenden","Williston","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Alburgh, VT",2017,"Vermont","Grand Isle","Alburgh","Other","1","1","0",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Stowe, VT",2017,"Vermont","Lamouille","Stowe","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Jay, VT",2017,"Vermont","Orleans","Jay","Targeted","0","1","1",1,"3","234","1","233","1","No Event",NA,NA,NA,NA
"Danby, VT",2017,"Vermont","Rutland","Danby","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Rutland, VT",2017,"Vermont","Rutland","Rutland","Other","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Barre, VT",2017,"Vermont","Washington","Barre","Targeted","5","5","4",5,"5","0","5","0","5","EventCity",NA,NA,NA,NA
"Warren, VT",2017,"Vermont","Washington","Warren","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Townshend, VT",2017,"Vermont","Windham","Townshend","Other","3","3","2",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Chester, VT",2017,"Vermont","Windsor","Chester","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Weathersfield, VT",2017,"Vermont","Windsor","Weathersfield","Targeted","0","1","1",1,"2","130","1","130","1","No Event",NA,NA,NA,NA
"Bridgeport, CT",2018,"Connecticut","Fairfield","Bridgeport","Targeted","108","119","82",92,"143","5,180","119","5,182","122","EventCity",NA,NA,NA,NA
"Danbury, CT",2018,"Connecticut","Fairfield","Danbury","Targeted","9","10","9",9,"11","4","10","4","10","EventCity",NA,NA,NA,NA
"Fairfield, CT",2018,"Connecticut","Fairfield","Fairfield","Targeted","35","36","32",31,"37","2","36","2","36","EventCity",NA,NA,NA,NA
"Greenwich, CT",2018,"Connecticut","Fairfield","Greenwich","Targeted","4","5","4",5,"6","59","5","59","6","EventCity",NA,NA,NA,NA
"Monroe, CT",2018,"Connecticut","Fairfield","Monroe","Targeted","2","3","3",3,"4","17","3","17","3","No Event",NA,NA,NA,NA
"New Canaan, CT",2018,"Connecticut","Fairfield","New Canaan","Targeted","5","5","3",5,"5","0","5","0","5","No Event",NA,NA,NA,NA
"Newtown, CT",2018,"Connecticut","Fairfield","Newtown","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Norwalk, CT",2018,"Connecticut","Fairfield","Norwalk","Targeted","41","46","26",40,"51","995","46","995","46","No Event",NA,NA,NA,NA
"Redding, CT",2018,"Connecticut","Fairfield","Redding","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Ridgefield, CT",2018,"Connecticut","Fairfield","Ridgefield","Targeted","3","3","2",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Shelton, CT",2018,"Connecticut","Fairfield","Shelton","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Stamford, CT",2018,"Connecticut","Fairfield","Stamford","Targeted","16","19","13",18,"23","1,510","19","1,510","19","EventCity",NA,NA,NA,NA
"Stratford, CT",2018,"Connecticut","Fairfield","Stratford","Targeted","49","51","37",43,"53","30","51","30","51","No Event",NA,NA,NA,NA
"Trumbull, CT",2018,"Connecticut","Fairfield","Trumbull","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Westport, CT",2018,"Connecticut","Fairfield","Westport","Targeted","21","22","17",22,"23","4","22","4","22","No Event",NA,NA,NA,NA
"Wilton, CT",2018,"Connecticut","Fairfield","Wilton","Targeted","4","4","2",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Avon, CT",2018,"Connecticut","Hartford","Avon","Targeted","7","7","7",7,"7","0","7","0","7","No Event",NA,NA,NA,NA
"Berlin, CT",2018,"Connecticut","Hartford","Berlin","Targeted","5","5","4",5,"5","0","5","0","5","EventCity",NA,NA,NA,NA
"Bloomfield, CT",2018,"Connecticut","Hartford","Bloomfield","Targeted","15","15","13",14,"15","0","15","0","15","EventCity",NA,NA,NA,NA
"Bristol, CT",2018,"Connecticut","Hartford","Bristol","Targeted","4","4","4",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"East Hartford, CT",2018,"Connecticut","Hartford","East Hartford","Targeted","51","55","43",49,"60","11","55","11","55","No Event",NA,NA,NA,NA
"East Windsor, CT",2018,"Connecticut","Hartford","East Windsor","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Enfield, CT",2018,"Connecticut","Hartford","Enfield","Targeted","6","6","5",6,"6","0","6","0","6","EventCity",NA,NA,NA,NA
"Farmington, CT",2018,"Connecticut","Hartford","Farmington","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Glastonbury, CT",2018,"Connecticut","Hartford","Glastonbury","Targeted","12","12","8",10,"12","0","12","0","12","EventCity",NA,NA,NA,NA
"Granby, CT",2018,"Connecticut","Hartford","Granby","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Hartford, CT",2018,"Connecticut","Hartford","Hartford","Targeted","135","142","113",108,"150","934","142","934","143","EventCity",NA,NA,NA,NA
"Manchester, CT",2018,"Connecticut","Hartford","Manchester","Targeted","19","21","15",19,"23","1,100","21","1,100","21","No Event",NA,NA,NA,NA
"New Britain, CT",2018,"Connecticut","Hartford","New Britain","Targeted","33","38","23",31,"45","2,115","38","2,115","38","EventCity",NA,NA,NA,NA
"Newington, CT",2018,"Connecticut","Hartford","Newington","Targeted","7","7","6",7,"7","0","7","0","7","EventCity",NA,NA,NA,NA
"Plainville, CT",2018,"Connecticut","Hartford","Plainville","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Rocky Hill, CT",2018,"Connecticut","Hartford","Rocky Hill","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Simsbury, CT",2018,"Connecticut","Hartford","Simsbury","Targeted","4","5","5",4,"6","131","5","131","6","No Event",NA,NA,NA,NA
"South Windsor, CT",2018,"Connecticut","Hartford","South Windsor","Targeted","7","7","7",7,"7","0","7","0","7","EventCity",NA,NA,NA,NA
"Southington, CT",2018,"Connecticut","Hartford","Southington","Targeted","3","4","4",4,"7","40","4","40","7","EventCity",NA,NA,NA,NA
"Suffield, CT",2018,"Connecticut","Hartford","Suffield","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"West Hartford, CT",2018,"Connecticut","Hartford","West Hartford","Targeted","24","26","21",21,"30","213","26","213","27","EventCity",NA,NA,NA,NA
"Wethersfield, CT",2018,"Connecticut","Hartford","Wethersfield","Targeted","9","9","6",8,"9","0","9","0","9","No Event",NA,NA,NA,NA
"Windsor Locks, CT",2018,"Connecticut","Hartford","Windsor Locks","Targeted","3","3","3",3,"3","0","3","0","3","EventCity",NA,NA,NA,NA
"Windsor, CT",2018,"Connecticut","Hartford","Windsor","Targeted","11","11","8",10,"11","0","11","0","11","EventCity",NA,NA,NA,NA
"Goshen, CT",2018,"Connecticut","Litchfield","Goshen","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Litchfield, CT",2018,"Connecticut","Litchfield","Litchfield","Targeted","5","5","5",3,"5","0","5","0","5","EventCity",NA,NA,NA,NA
"New Milford, CT",2018,"Connecticut","Litchfield","New Milford","Targeted","5","6","6",6,"10","99","6","98","7","No Event",NA,NA,NA,NA
"Salisbury, CT",2018,"Connecticut","Litchfield","Salisbury","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Sharon, CT",2018,"Connecticut","Litchfield","Sharon","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Torrington, CT",2018,"Connecticut","Litchfield","Torrington","Targeted","6","7","7",7,"9","461","7","461","8","No Event",NA,NA,NA,NA
"Watertown, CT",2018,"Connecticut","Litchfield","Watertown","Targeted","4","5","5",4,"7","12","5","12","5","No Event",NA,NA,NA,NA
"Winchester, CT",2018,"Connecticut","Litchfield","Winchester","Targeted","6","8","7",8,"11","80","8","80","9","No Event",NA,NA,NA,NA
"East Hampton, CT",2018,"Connecticut","Middlesex","East Hampton","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Middletown, CT",2018,"Connecticut","Middlesex","Middletown","Other","5","6","5",6,"7","11","6","11","6","No Event",NA,NA,NA,NA
"Ansonia, CT",2018,"Connecticut","New Haven","Ansonia","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Branford, CT",2018,"Connecticut","New Haven","Branford","Targeted","15","16","7",14,"17","598","16","598","16","No Event",NA,NA,NA,NA
"Cheshire, CT",2018,"Connecticut","New Haven","Cheshire","Targeted","2","2","2",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Derby, CT",2018,"Connecticut","New Haven","Derby","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"East Haven, CT",2018,"Connecticut","New Haven","East Haven","Targeted","21","21","15",19,"21","0","21","0","21","No Event",NA,NA,NA,NA
"Guilford, CT",2018,"Connecticut","New Haven","Guilford","Targeted","1","1","0",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Hamden, CT",2018,"Connecticut","New Haven","Hamden","Targeted","23","24","19",20,"25","2","24","2","24","EventCity",NA,NA,NA,NA
"Madison, CT",2018,"Connecticut","New Haven","Madison","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Meriden, CT",2018,"Connecticut","New Haven","Meriden","Targeted","4","5","5",5,"10","254","5","255","6","No Event",NA,NA,NA,NA
"Middlebury, CT",2018,"Connecticut","New Haven","Middlebury","Targeted","2","2","1",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Milford, CT",2018,"Connecticut","New Haven","Milford","Targeted","11","11","10",10,"11","0","11","0","11","No Event",NA,NA,NA,NA
