CityState,ZIP,City,State,lat,lon
"Portsmouth, NH",00210,Portsmouth,NH,43.005895,-71.013202
"Agawam, MA",01001,Agawam,MA,42.07061,-72.62029
"Amherst, MA",01002,Amherst,MA,42.377651,-72.50323
"Barre, MA",01005,Barre,MA,42.412094,-72.10443
"Belchertown, MA",01007,Belchertown,MA,42.278424,-72.411
"Blandford, MA",01008,Blandford,MA,42.174313,-72.94828
"Bondsville, MA",01009,Bondsville,MA,42.206092,-72.340486
"Brimfield, MA",01010,Brimfield,MA,42.126038,-72.20552
"Chester, MA",01011,Chester,MA,42.271442,-73.01958
"Chesterfield, MA",01012,Chesterfield,MA,42.390836,-72.84356
"Chicopee, MA",01013,Chicopee,MA,42.161492,-72.60316
"Cummington, MA",01026,Cummington,MA,42.465041,-72.91813
"Easthampton, MA",01027,Easthampton,MA,42.27279,-72.68677
"East Longmeadow, MA",01028,East Longmeadow,MA,42.066795,-72.5102
"East Otis, MA",01029,East Otis,MA,42.175896,-73.04204
"Feeding Hills, MA",01030,Feeding Hills,MA,42.070774,-72.67248
"Gilbertville, MA",01031,Gilbertville,MA,42.33071,-72.18833
"Goshen, MA",01032,Goshen,MA,42.45792,-72.81551
"Granby, MA",01033,Granby,MA,42.254563,-72.51831
"Granville, MA",01034,Granville,MA,42.086224,-72.94464
"Hadley, MA",01035,Hadley,MA,42.35549,-72.5733
"Hampden, MA",01036,Hampden,MA,42.064703,-72.41735
"Hardwick, MA",01037,Hardwick,MA,42.374202,-72.19524
"Hatfield, MA",01038,Hatfield,MA,42.375155,-72.60832
"Haydenville, MA",01039,Haydenville,MA,42.381475,-72.69259
"Holyoke, MA",01040,Holyoke,MA,42.201891,-72.6242
"Huntington, MA",01050,Huntington,MA,42.290209,-72.87942
"Leeds, MA",01053,Leeds,MA,42.353105,-72.70206
"Leverett, MA",01054,Leverett,MA,42.479839,-72.49879
"Ludlow, MA",01056,Ludlow,MA,42.174893,-72.47068
"Monson, MA",01057,Monson,MA,42.089269,-72.317
"North Amherst, MA",01059,North Amherst,MA,42.369562,-72.63599
"Northampton, MA",01060,Northampton,MA,42.324539,-72.63561
"Florence, MA",01062,Florence,MA,42.324232,-72.67915
"North Hatfield, MA",01066,North Hatfield,MA,42.406697,-72.633901
"Oakham, MA",01068,Oakham,MA,42.349769,-72.04413
"Palmer, MA",01069,Palmer,MA,42.176401,-72.32646
"Plainfield, MA",01070,Plainfield,MA,42.515853,-72.91661
"Russell, MA",01071,Russell,MA,42.165931,-72.85153
"Shutesbury, MA",01072,Shutesbury,MA,42.486027,-72.42208
"Southampton, MA",01073,Southampton,MA,42.223885,-72.72777
"South Barre, MA",01074,South Barre,MA,42.375998,-72.149388
"South Hadley, MA",01075,South Hadley,MA,42.234891,-72.58243
"Southwick, MA",01077,Southwick,MA,42.05283,-72.76966
"Thorndike, MA",01079,Thorndike,MA,42.192892,-72.329574
"Three Rivers, MA",01080,Three Rivers,MA,42.180563,-72.36518
"Wales, MA",01081,Wales,MA,42.058024,-72.22517
"Ware, MA",01082,Ware,MA,42.270611,-72.26067
"Warren, MA",01083,Warren,MA,42.20468,-72.20259
"West Chesterfield, MA",01084,West Chesterfield,MA,42.379807,-72.89043
"Westfield, MA",01085,Westfield,MA,42.133642,-72.75029
"West Hatfield, MA",01088,West Hatfield,MA,42.388831,-72.6321
"West Springfield, MA",01089,West Springfield,MA,42.112793,-72.64066
"West Warren, MA",01092,West Warren,MA,42.210777,-72.23904
"Whately, MA",01093,Whately,MA,42.442673,-72.652511
"Wheelwright, MA",01094,Wheelwright,MA,42.358201,-72.140846
"Wilbraham, MA",01095,Wilbraham,MA,42.12531,-72.44057
"Williamsburg, MA",01096,Williamsburg,MA,42.415236,-72.78271
"Woronoco, MA",01097,Woronoco,MA,42.161743,-72.845912
"Worthington, MA",01098,Worthington,MA,42.399054,-72.93871
"Springfield, MA",01101,Springfield,MA,42.170731,-72.604842
"Longmeadow, MA",01106,Longmeadow,MA,42.050395,-72.5712
"Indian Orchard, MA",01151,Indian Orchard,MA,42.153926,-72.50531
"Pittsfield, MA",01201,Pittsfield,MA,42.45384,-73.254
"Adams, MA",01220,Adams,MA,42.619727,-73.11842
"Ashley Falls, MA",01222,Ashley Falls,MA,42.057496,-73.32177
"Becket, MA",01223,Becket,MA,42.314449,-73.09335
"Berkshire, MA",01224,Berkshire,MA,42.3929,-73.228483
"Cheshire, MA",01225,Cheshire,MA,42.551731,-73.1653
"Dalton, MA",01226,Dalton,MA,42.476575,-73.11547
"Glendale, MA",01229,Glendale,MA,42.279292,-73.343545
"Great Barrington, MA",01230,Great Barrington,MA,42.189715,-73.35249
"Sheffield, MA",01231,Sheffield,MA,42.153001,-73.298131
"Hinsdale, MA",01235,Hinsdale,MA,42.433661,-73.09278
"Housatonic, MA",01236,Housatonic,MA,42.266874,-73.36236
"Lanesboro, MA",01237,Lanesboro,MA,42.557346,-73.24364
"Lee, MA",01238,Lee,MA,42.299263,-73.2327
"Lenox, MA",01240,Lenox,MA,42.36237,-73.27683
"Lenox Dale, MA",01242,Lenox Dale,MA,42.336557,-73.24599
"Middlefield, MA",01243,Middlefield,MA,42.356088,-73.010448
"Mill River, MA",01244,Mill River,MA,42.139104,-73.20312
"Monterey, MA",01245,Monterey,MA,42.180659,-73.20849
"North Adams, MA",01247,North Adams,MA,42.696064,-73.10145
"North Egremont, MA",01252,North Egremont,MA,42.198648,-73.446234
"Otis, MA",01253,Otis,MA,42.198403,-73.10205
"Richmond, MA",01254,Richmond,MA,42.374711,-73.36336
"Sandisfield, MA",01255,Sandisfield,MA,42.088973,-73.12444
"Savoy, MA",01256,Savoy,MA,42.592506,-73.01123
"South Egremont, MA",01258,South Egremont,MA,42.103122,-73.45734
"Southfield, MA",01259,Southfield,MA,42.0645,-73.24674
"South Lee, MA",01260,South Lee,MA,42.286586,-73.313274
"Stockbridge, MA",01262,Stockbridge,MA,42.283216,-73.31423
"Tyringham, MA",01264,Tyringham,MA,42.224905,-73.20394
"West Stockbridge, MA",01266,West Stockbridge,MA,42.328535,-73.36407
"Williamstown, MA",01267,Williamstown,MA,42.689962,-73.22355
"Windsor, MA",01270,Windsor,MA,42.443726,-73.116127
"Greenfield, MA",01301,Greenfield,MA,42.605524,-72.60098
"Ashfield, MA",01330,Ashfield,MA,42.521131,-72.81116
"Athol, MA",01331,Athol,MA,42.579931,-72.20836
"Bernardston, MA",01337,Bernardston,MA,42.678023,-72.55569
"Buckland, MA",01338,Buckland,MA,42.569498,-72.802
"Charlemont, MA",01339,Charlemont,MA,42.626858,-72.87939
"Colrain, MA",01340,Colrain,MA,42.673371,-72.73104
"Conway, MA",01341,Conway,MA,42.508313,-72.70403
"Deerfield, MA",01342,Deerfield,MA,42.542322,-72.6091
"Drury, MA",01343,Drury,MA,42.642666,-72.986231
"Erving, MA",01344,Erving,MA,42.607051,-72.41396
"Heath, MA",01346,Heath,MA,42.669255,-72.80494
"Lake Pleasant, MA",01347,Lake Pleasant,MA,42.556558,-72.518104
"Turners Falls, MA",01349,Turners Falls,MA,42.5737,-72.50525
"Monroe Bridge, MA",01350,Monroe Bridge,MA,42.712257,-72.97629
"Montague, MA",01351,Montague,MA,42.534976,-72.52522
"Northfield, MA",01354,Northfield,MA,42.522178,-72.624164
"New Salem, MA",01355,New Salem,MA,42.485899,-72.33345
"Orange, MA",01364,Orange,MA,42.599614,-72.29263
"Petersham, MA",01366,Petersham,MA,42.474718,-72.21226
"Rowe, MA",01367,Rowe,MA,42.694883,-72.90962
"Royalston, MA",01368,Royalston,MA,42.671012,-72.16999
"Shattuckville, MA",01369,Shattuckville,MA,42.522178,-72.624164
"Shelburne Falls, MA",01370,Shelburne Falls,MA,42.603447,-72.72754
"South Deerfield, MA",01373,South Deerfield,MA,42.472734,-72.62452
"Sunderland, MA",01375,Sunderland,MA,42.449978,-72.56302
"Warwick, MA",01378,Warwick,MA,42.667152,-72.32729
"Wendell, MA",01379,Wendell,MA,42.547274,-72.41724
"Wendell Depot, MA",01380,Wendell Depot,MA,42.594455,-72.36314
"Fitchburg, MA",01420,Fitchburg,MA,42.578689,-71.80338
"Westborough, MA",01427,Westborough,MA,42.286575,-71.585753
"Ashburnham, MA",01430,Ashburnham,MA,42.658768,-71.93287
"Ashby, MA",01431,Ashby,MA,42.672005,-71.8137
"Ayer, MA",01432,Ayer,MA,42.549821,-71.59136
"Devens, MA",01434,Devens,MA,42.53,-71.61
"Baldwinville, MA",01436,Baldwinville,MA,42.608903,-72.08021
"East Templeton, MA",01438,East Templeton,MA,42.563367,-72.03498
"Gardner, MA",01440,Gardner,MA,42.575355,-71.99183
"Groton, MA",01450,Groton,MA,42.609887,-71.55722
"Harvard, MA",01451,Harvard,MA,42.505928,-71.5888
"Hubbardston, MA",01452,Hubbardston,MA,42.477515,-71.99654
"Leominster, MA",01453,Leominster,MA,42.526523,-71.75358
"Littleton, MA",01460,Littleton,MA,42.540052,-71.49085
"Lunenburg, MA",01462,Lunenburg,MA,42.582839,-71.72051
"Pepperell, MA",01463,Pepperell,MA,42.665686,-71.5929
"Shirley, MA",01464,Shirley,MA,42.559289,-71.64555
"Still River, MA",01467,Still River,MA,42.488666,-71.62412
"Templeton, MA",01468,Templeton,MA,42.557796,-72.06824
"Townsend, MA",01469,Townsend,MA,42.658738,-71.69204
"West Groton, MA",01472,West Groton,MA,42.446396,-71.459405
"Westminster, MA",01473,Westminster,MA,42.544622,-71.9021
"West Townsend, MA",01474,West Townsend,MA,42.669408,-71.74578
"Winchendon, MA",01475,Winchendon,MA,42.675441,-72.0467
"Winchendon Springs, MA",01477,Winchendon Springs,MA,42.364807,-71.896868
"Auburn, MA",01501,Auburn,MA,42.20361,-71.83843
"Berlin, MA",01503,Berlin,MA,42.380562,-71.62665
"Blackstone, MA",01504,Blackstone,MA,42.028147,-71.52999
"Boylston, MA",01505,Boylston,MA,42.338392,-71.73026
"Brookfield, MA",01506,Brookfield,MA,42.200374,-72.09787
"Charlton, MA",01507,Charlton,MA,42.135142,-71.96961
"Charlton City, MA",01508,Charlton City,MA,42.109748,-72.079455
"Charlton Depot, MA",01509,Charlton Depot,MA,42.364807,-71.896868
"Clinton, MA",01510,Clinton,MA,42.418836,-71.68482
"East Brookfield, MA",01515,East Brookfield,MA,42.212777,-72.05311
"Douglas, MA",01516,Douglas,MA,42.061437,-71.72887
"East Princeton, MA",01517,East Princeton,MA,42.364807,-71.896868
"Fiskdale, MA",01518,Fiskdale,MA,42.12515,-72.12393
"Grafton, MA",01519,Grafton,MA,42.201674,-71.68771
"Holden, MA",01520,Holden,MA,42.338962,-71.84434
"Holland, MA",01521,Holland,MA,42.054676,-72.16137
"Jefferson, MA",01522,Jefferson,MA,42.369658,-71.87418
"Lancaster, MA",01523,Lancaster,MA,42.473131,-71.67946
"Leicester, MA",01524,Leicester,MA,42.238942,-71.91908
"Linwood, MA",01525,Linwood,MA,42.364807,-71.896868
"Manchaug, MA",01526,Manchaug,MA,42.364807,-71.896868
"Millbury, MA",01527,Millbury,MA,42.196144,-71.76272
"Millville, MA",01529,Millville,MA,42.036396,-71.57798
"New Braintree, MA",01531,New Braintree,MA,42.317121,-72.12248
"Northborough, MA",01532,Northborough,MA,42.321917,-71.64692
"Northbridge, MA",01534,Northbridge,MA,42.140741,-71.64376
"North Brookfield, MA",01535,North Brookfield,MA,42.267274,-72.07823
"North Grafton, MA",01536,North Grafton,MA,42.231444,-71.70523
"North Oxford, MA",01537,North Oxford,MA,42.170846,-71.88989
"North Uxbridge, MA",01538,North Uxbridge,MA,42.364807,-71.896868
"Oxford, MA",01540,Oxford,MA,42.117527,-71.8657
"Princeton, MA",01541,Princeton,MA,42.451569,-71.882
"Rochdale, MA",01542,Rochdale,MA,42.194793,-71.90651
"Rutland, MA",01543,Rutland,MA,42.380877,-71.96427
"Shrewsbury, MA",01545,Shrewsbury,MA,42.286643,-71.72502
"Southbridge, MA",01550,Southbridge,MA,42.070827,-72.03533
"South Grafton, MA",01560,South Grafton,MA,42.177462,-71.69382
"South Lancaster, MA",01561,South Lancaster,MA,42.443539,-71.686137
"Spencer, MA",01562,Spencer,MA,42.247212,-71.99227
"Sterling, MA",01564,Sterling,MA,42.436875,-71.77333
"Sturbridge, MA",01566,Sturbridge,MA,42.104581,-72.08584
"Upton, MA",01568,Upton,MA,42.17382,-71.60971
"Uxbridge, MA",01569,Uxbridge,MA,42.064978,-71.62992
"Webster, MA",01570,Webster,MA,42.047728,-71.86108
"Dudley, MA",01571,Dudley,MA,42.049864,-71.9173
"West Boylston, MA",01583,West Boylston,MA,42.359842,-71.787
"West Brookfield, MA",01585,West Brookfield,MA,42.242965,-72.16734
"West Millbury, MA",01586,West Millbury,MA,42.364807,-71.896868
"Whitinsville, MA",01588,Whitinsville,MA,42.114195,-71.67225
"Sutton, MA",01590,Sutton,MA,42.131028,-71.75121
"Worcester, MA",01601,Worcester,MA,42.265275,-71.879415
"Cherry Valley, MA",01611,Cherry Valley,MA,42.238449,-71.87139
"Paxton, MA",01612,Paxton,MA,42.307591,-71.91929
"Tolland, MA",01634,Tolland,MA,42.069484,-72.999433
"Framingham, MA",01701,Framingham,MA,42.318695,-71.42344
"Village Of Nagog Woods, MA",01718,Village Of Nagog Woods,MA,42.519739,-71.42721
"Boxborough, MA",01719,Boxborough,MA,42.486259,-71.51244
"Acton, MA",01720,Acton,MA,42.477142,-71.4422
"Ashland, MA",01721,Ashland,MA,42.257956,-71.45886
"Bedford, MA",01730,Bedford,MA,42.496679,-71.27504
"Hanscom AFB, MA",01731,Hanscom AFB,MA,42.459085,-71.27556
"Bolton, MA",01740,Bolton,MA,42.437086,-71.61266
"Carlisle, MA",01741,Carlisle,MA,42.5286,-71.35084
"Concord, MA",01742,Concord,MA,42.457201,-71.37478
"Fayville, MA",01745,Fayville,MA,42.295544,-71.50468
"Holliston, MA",01746,Holliston,MA,42.196065,-71.43797
"Hopedale, MA",01747,Hopedale,MA,42.125536,-71.53662
"Hopkinton, MA",01748,Hopkinton,MA,42.220447,-71.53418
"Hudson, MA",01749,Hudson,MA,42.389813,-71.55791
"Natick, MA",01750,Natick,MA,42.273817,-71.378157
"Marlborough, MA",01752,Marlborough,MA,42.350909,-71.54753
"Maynard, MA",01754,Maynard,MA,42.430781,-71.45594
"Mendon, MA",01756,Mendon,MA,42.092006,-71.54474
"Milford, MA",01757,Milford,MA,42.149176,-71.52149
"Sherborn, MA",01770,Sherborn,MA,42.231025,-71.37202
"Southborough, MA",01772,Southborough,MA,42.297643,-71.53369
"Lincoln, MA",01773,Lincoln,MA,42.425537,-71.30316
"Stow, MA",01775,Stow,MA,42.423882,-71.51086
"Sudbury, MA",01776,Sudbury,MA,42.38532,-71.42989
"Wayland, MA",01778,Wayland,MA,42.345583,-71.35643
"Woodville, MA",01784,Woodville,MA,42.446396,-71.459405
"Woburn, MA",01801,Woburn,MA,42.484545,-71.15206
"Burlington, MA",01803,Burlington,MA,42.506362,-71.20008
"Andover, MA",01810,Andover,MA,42.646942,-71.1513
"Pinehurst, MA",01820,Pinehurst,MA,42.540779,-71.238175
"Billerica, MA",01821,Billerica,MA,42.54805,-71.25054
"Haverhill, MA",01823,Haverhill,MA,42.800429,-71.11087
"Chelmsford, MA",01824,Chelmsford,MA,42.595491,-71.3544
"Dracut, MA",01826,Dracut,MA,42.677772,-71.316
"Dunstable, MA",01827,Dunstable,MA,42.671356,-71.50292
"Georgetown, MA",01833,Georgetown,MA,42.729437,-70.98291
"Groveland, MA",01834,Groveland,MA,42.750691,-71.02487
"Lawrence, MA",01840,Lawrence,MA,42.706941,-71.16181
"Methuen, MA",01844,Methuen,MA,42.73004,-71.17935
"North Andover, MA",01845,North Andover,MA,42.683841,-71.11171
"Lowell, MA",01850,Lowell,MA,42.655791,-71.30504
"Merrimac, MA",01860,Merrimac,MA,42.834246,-71.00207
"North Billerica, MA",01862,North Billerica,MA,42.573592,-71.2911
"North Chelmsford, MA",01863,North Chelmsford,MA,42.634199,-71.39322
"North Reading, MA",01864,North Reading,MA,42.583436,-71.0982
"Nutting Lake, MA",01865,Nutting Lake,MA,42.446396,-71.459405
"Reading, MA",01867,Reading,MA,42.52585,-71.10993
"Tewksbury, MA",01876,Tewksbury,MA,42.601684,-71.22071
"Tyngsboro, MA",01879,Tyngsboro,MA,42.671589,-71.41694
"Wakefield, MA",01880,Wakefield,MA,42.501345,-71.07132
"West Boxford, MA",01885,West Boxford,MA,42.635443,-70.879123
"Westford, MA",01886,Westford,MA,42.592086,-71.43754
"Wilmington, MA",01887,Wilmington,MA,42.558576,-71.17031
"Winchester, MA",01890,Winchester,MA,42.451945,-71.14276
"Lynn, MA",01901,Lynn,MA,42.461246,-70.946743
"Saugus, MA",01906,Saugus,MA,42.462796,-71.0098
"Swampscott, MA",01907,Swampscott,MA,42.474409,-70.90588
"Nahant, MA",01908,Nahant,MA,42.427096,-70.92809
"Amesbury, MA",01913,Amesbury,MA,42.854423,-70.93547
"Beverly, MA",01915,Beverly,MA,42.560995,-70.8757
"Boxford, MA",01921,Boxford,MA,42.677869,-71.00844
"Byfield, MA",01922,Byfield,MA,42.76087,-70.92648
"Danvers, MA",01923,Danvers,MA,42.569756,-70.94322
"Essex, MA",01929,Essex,MA,42.631753,-70.77925
"Gloucester, MA",01930,Gloucester,MA,42.624015,-70.67552
"Hamilton, MA",01936,Hamilton,MA,42.635443,-70.879123
"Hathorne, MA",01937,Hathorne,MA,42.635443,-70.879123
"Ipswich, MA",01938,Ipswich,MA,42.682965,-70.84007
"Lynnfield, MA",01940,Lynnfield,MA,42.527895,-71.02834
"Manchester, MA",01944,Manchester,MA,42.580033,-70.76462
"Marblehead, MA",01945,Marblehead,MA,42.497146,-70.86323
"Salem, MA",01947,Salem,MA,42.642845,-70.873647
"Middleton, MA",01949,Middleton,MA,42.602278,-71.01356
"Newburyport, MA",01950,Newburyport,MA,42.809891,-70.86363
"Newbury, MA",01951,Newbury,MA,42.780141,-70.86866
"Salisbury, MA",01952,Salisbury,MA,42.85048,-70.86153
"Peabody, MA",01960,Peabody,MA,42.534045,-70.96146
"Prides Crossing, MA",01965,Prides Crossing,MA,42.558113,-70.825743
"Rockport, MA",01966,Rockport,MA,42.659936,-70.61727
"Rowley, MA",01969,Rowley,MA,42.716708,-70.90899
"South Hamilton, MA",01982,South Hamilton,MA,42.616643,-70.86513
"Topsfield, MA",01983,Topsfield,MA,42.642471,-70.94424
"Wenham, MA",01984,Wenham,MA,42.600518,-70.87618
"West Newbury, MA",01985,West Newbury,MA,42.790736,-70.97286
"Accord, MA",02018,Accord,MA,41.970474,-70.701357
"Bellingham, MA",02019,Bellingham,MA,42.075122,-71.47953
"Brant Rock, MA",02020,Brant Rock,MA,42.081825,-70.643868
"Canton, MA",02021,Canton,MA,42.166776,-71.1343
"Cohasset, MA",02025,Cohasset,MA,42.241908,-70.81223
"Dedham, MA",02026,Dedham,MA,42.244609,-71.16553
"Providence, RI",02029,Providence,RI,41.817398,-71.453674
"Dover, MA",02030,Dover,MA,42.23888,-71.28241
"East Mansfield, MA",02031,East Mansfield,MA,41.998799,-71.200894
"East Walpole, MA",02032,East Walpole,MA,42.153912,-71.21362
"Foxboro, MA",02035,Foxboro,MA,42.061427,-71.24232
"Franklin, MA",02038,Franklin,MA,42.089104,-71.4069
"Greenbush, MA",02040,Greenbush,MA,41.970474,-70.701357
"Green Harbor, MA",02041,Green Harbor,MA,42.069642,-70.649075
"Hingham, MA",02043,Hingham,MA,42.225708,-70.88764
"Hull, MA",02045,Hull,MA,42.286347,-70.87663
"Humarock, MA",02047,Humarock,MA,42.142836,-70.69353
"Mansfield, MA",02048,Mansfield,MA,42.019982,-71.2191
"Marshfield, MA",02050,Marshfield,MA,42.109763,-70.69172
"Marshfield Hills, MA",02051,Marshfield Hills,MA,42.151202,-70.734146
"Medfield, MA",02052,Medfield,MA,42.185571,-71.30476
"Medway, MA",02053,Medway,MA,42.151526,-71.42315
"Millis, MA",02054,Millis,MA,42.166398,-71.36178
"Minot, MA",02055,Minot,MA,41.970474,-70.701357
"Norfolk, MA",02056,Norfolk,MA,42.111836,-71.32855
"North Marshfield, MA",02059,North Marshfield,MA,41.970474,-70.701357
"North Scituate, MA",02060,North Scituate,MA,41.970474,-70.701357
"Norwell, MA",02061,Norwell,MA,42.15243,-70.8205
"Norwood, MA",02062,Norwood,MA,42.185974,-71.20166
"Ocean Bluff, MA",02065,Ocean Bluff,MA,42.097219,-70.651567
"Scituate, MA",02066,Scituate,MA,42.205038,-70.7513
"Sharon, MA",02067,Sharon,MA,42.113749,-71.17923
"Sheldonville, MA",02070,Sheldonville,MA,42.180048,-71.08923
"South Walpole, MA",02071,South Walpole,MA,42.101406,-71.27239
"Stoughton, MA",02072,Stoughton,MA,42.125432,-71.10627
"Walpole, MA",02081,Walpole,MA,42.145237,-71.25375
"Foxborough, MA",02085,Foxborough,MA,42.075995,-71.286055
"Westwood, MA",02090,Westwood,MA,42.212949,-71.20735
"Wrentham, MA",02093,Wrentham,MA,42.0597,-71.34617
"Boston, MA",02101,Boston,MA,42.370567,-71.026964
"Mattapan, MA",02126,Mattapan,MA,42.272098,-71.09426
"Charlestown, MA",02129,Charlestown,MA,42.378619,-71.06495
"Jamaica Plain, MA",02130,Jamaica Plain,MA,42.309998,-71.11171
"Roslindale, MA",02131,Roslindale,MA,42.284678,-71.13052
"West Roxbury, MA",02132,West Roxbury,MA,42.279432,-71.1598
"Allston, MA",02134,Allston,MA,42.355147,-71.13164
"Brighton, MA",02135,Brighton,MA,42.348418,-71.15349
"Hyde Park, MA",02136,Hyde Park,MA,42.252198,-71.12593
"Readville, MA",02137,Readville,MA,42.338947,-70.919635
"Cambridge, MA",02138,Cambridge,MA,42.379146,-71.12803
"Somerville, MA",02143,Somerville,MA,42.381929,-71.09908
"Brookline, MA",02146,Brookline,MA,42.308198,-71.088745
"Brookline Village, MA",02147,Brookline Village,MA,42.180048,-71.08923
"Malden, MA",02148,Malden,MA,42.428549,-71.06059
"Everett, MA",02149,Everett,MA,42.409916,-71.0522
"Chelsea, MA",02150,Chelsea,MA,42.396382,-71.03352
"Revere, MA",02151,Revere,MA,42.416247,-71.00525
"Winthrop, MA",02152,Winthrop,MA,42.373047,-70.97803
"Medford, MA",02153,Medford,MA,42.446396,-71.459405
"Waltham, MA",02154,Waltham,MA,42.388938,-71.2398
"West Medford, MA",02156,West Medford,MA,42.446396,-71.459405
"Babson Park, MA",02157,Babson Park,MA,42.173933,-71.185494
"Newton, MA",02158,Newton,MA,42.353696,-71.188149
"Auburndale, MA",02166,Auburndale,MA,42.346146,-71.243057
"Chestnut Hill, MA",02167,Chestnut Hill,MA,42.320797,-71.169847
"Waban, MA",02168,Waban,MA,42.446396,-71.459405
